Size	Relu	Type GPU	VRAM
15.6	1920x1080	1	4
16.0	2560x1600	0	0
15.6	1920x1080	1	4
15.6	1920x1080	0	0
15.6	1920x1080	1	6
14.0	1920x1080	1	4
15.6	2560x1440	1	6
15.6	1920x1080	1	6
14.0	1920x1080	0	0
14	1366x768	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	8
14.0	1920x1080	0	0
14.0	1366x768	0	0
14	1920x1080	1	4
16.0	2560x1600	1	8
13.3	1920x1080	0	0
15.6	2560x1440	1	6
15.6	2560x1440	1	6
14.0	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1920x1080	1	2
14.0	1366x768	0	0
15.6	3840x2160vesa displayhdr 400 true black	1	6
16.0	2560x1600	1	16
15.6	1920x1080	1	4
15.6	1920x1080	0	0
15.6	1920x1080	1	6
14.0	1920x1080	0	0
15.6	1920x1080	1	2
14.0	2560x1440	1	4
15.6	1920x1080	1	8
15.6	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
16.0	2560x1600	0	0
14.0	1920x1200	0	0
17.0	2560x1600	0	0
14.0	1920x1200	0	0
16.0	2560x1600	0	0
13.3	2560x1600	0	0
15.6	1920x1080	1	6
14	2560x1440	1	6
14	1920x1200	0	0
16	2560x1600	1	8
17.3	2560x1440	1	16
15.6	1920x1080	0	0
15.6	1920x1080	1	4
15.6	1920x1080	1	4
15.6	1920x1080	1	4
15.6	1920x1080	1	4
15.6	1920x1080	1	6
15.6	1920x1080	1	4
13.3	2560x1600	0	0
13.3	2560x1600	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	4
16	2560x1600	1	6
16.0	2560x1600	1	6
15.6	1920x1080	1	4
15.6	1920x1080	1	4
14	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	4
15.6	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080	0	0
13.3	2560x1600	0	0
13.3	2560x1600	0	0
14.0	1366x768	0	0
14.0	1366x768	0	0
15.6	1920x1080	1	4
15.6	1920x1080	1	4
15.6	1920x1080	1	6
15.6	1920x1080	1	8
14	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1920x1080	1	4
17.3	1920x1080	1	8
13.5	2256x1504	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	4
17.0	2560x1600	0	0
14.0	1920x1200	0	0
15.6	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1920x1080	0	0
14	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
14.0	2560x1440	1	4
13.3	1920x1080	0	0
15.6	1366x768	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	2
14.0	1920x1080	0	0
14.0	1920x1080	1	4
15.6	1920x1080	0	0
15.6	2560x1440	1	6
14	1920x1080	1	2
15.6	1920x1080	0	0
15.6	1366x768	0	0
14.0	1920x1080	0	0
14	1920x1080400 nits	0	0
14.0	2560x1440	1	4
13.3	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	4
14	1920x1080	0	0
14	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	8
15.6	1920x1080	1	4
15.6	1920x1080	0	0
15.6	2560x1440	1	8
14	1920x1080	0	0
14	1920x1080	1	2
13.3	1920x1200	0	0
13.3	2560x1600	0	0
14	1920x1080	1	2
14	1920x1080	1	2
16.1	1920x1080	1	4
14.0	1920x1080	0	0
14	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
14	1920x1080	0	0
15.6	2560x1440	1	4
14	1920x1080	0	0
13.3	3840x2160	0	0
17.3	1920x1080	1	4
15.6	1920x1080	0	0
13.4	1920x1200	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	2
13.3	1920x1080	0	0
13.3	1920x1080	0	0
14	1920x1080250 nits	0	0
15.6	2560x1440	1	8
15.6	1920x1080	1	2
15.6	1920x1080	0	0
13.3	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	8
16	2560x1600	1	6
14	1366x768	0	0
14.0	1920x1080	0	0
14	1920x1080	0	0
13.3	1920x1080	0	0
13.3	1920x1080	0	0
13.4	1920x1200	0	0
14.0	1366x768	0	0
15.6	2560×1440	1	8
15.6	1920x1080	1	6
15.6	1920x1080	1	6
13.3	1920x1080	0	0
13.3	1920x1080	0	0
13.3	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	1	4
14	1366x768	0	0
13.4	1920x1200	1	4
14.0	1920x1080	1	4
17.3	1920x1080	1	8
14.0	1920x1080	0	0
13.3	1920x1080	0	0
14.0	1920x1080	0	0
13.3	2560x1600	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	4
14.0	2880x1800	0	0
15.6	1920x1080	1	4
15.6	1920x1080	1	4
15.6	1920x1080	1	4
15.6	3840x2160	1	4
15.6	1920x1080	1	2
15.6	1920x1080	0	0
13.3	1920x1080	0	0
13.3	1920x1080	0	0
14	1920x1080	1	2
16	2560x1600	1	8
15.6	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
11.6	1366x768	0	0
11.6	1366x768	0	0
17.0	2560x1600	0	0
17.3	2560x1440	0	0
17.3	2560x1440	0	0
15.6	1920x1080	1	4
14	1920x1200	0	0
14	1920x1200	0	0
14	1920x1080	0	0
15.6	1920x1080	1	6
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	4
15.6	1920x1080144hz	1	4
16.1	1920x1080	1	4
15.6	1920x1080	1	4
17.3	2560x1440	1	8
14	1920x1080400 nits	1	4
13.3	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	4
14	1920x1080250 nits	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
15.6	2560x1440	1	8
14	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	2
16	2560x1600	1	6
14	1366x768	0	0
15.6	1920x1080	1	16
15.6	2560x1440	1	8
15.6	1920x1080	1	8
17.3	2560x1440	1	16
15.6	1920x1080	1	6
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	1	2
15.6	1920x1080	0	0
15.6	1920x1080	0	0
14	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
13.3	2560x1600	0	0
13.3	2560x1600	0	0
15.6	1920x1080	1	4
13.3	2560x1600	0	0
13.3	2560x1600	0	0
15.6	1920x1080	0	0
13.3	1920x1080	0	0
14.0	1920x1080	0	0
13.4	1920x1200	1	4
14.0	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
14	1920x1200	0	0
17.3	1920x1080	1	4
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	2
14	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1366x768	0	0
13.3	3840x2160	0	0
14	1920x1080	0	0
14	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
13.3	1920x1080	0	0
14.0	1366x768	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
16.1	1920x1080	1	4
11.6	1366x768	0	0
15.6	1920x1080	1	4
14.0	1920x1080	1	2
15.6	1920x1080	1	4
14	2560x1600	1	2
15.6	1366x768	0	0
13.3	1920x1080	0	0
14	1920x1080250 nits	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	2
14.0	1920x1080	0	0
15.6	1920x1080	1	2
14.0	1920x1080	0	0
15.6	2560x1440	1	6
16	2560x1600	1	6
15.6	1920x1080	0	0
13.3	1920x1080	1	2
14.0	1920x1080	0	0
17.3	1920x1080	1	6
14	1366x768	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	1	2
14	1920x1080250 nits	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	4
14	1920x1080	0	0
14.0	1920x1080	0	0
14	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080	1	2
15.6	1920x1080	0	0
14	1366x768	0	0
15.6	1920x1080	1	4
14.0	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	4
15.6	396mm1920x1080	1	6
15.6	1920x1080	1	6
14.0	2880x1800	0	0
15.6	1920x1080	1	4
16.0	2560x1600	1	4
16.0	2560x1600	1	4
16	2560x1600	1	4
16	2560x1600	1	4
14	2240x1400	1	2
14	2240x1400	1	2
14	2880x1800	1	2
14	1920x1080	0	0
14	1920x1080	0	0
14.0	1366x768	0	0
15.6	1920x1080	0	0
14	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1366x768	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	2
13.3	1920x1080	0	0
13.3	1366x768	0	0
13.3	1366x768	0	0
15.6	1920x1080	1	2
15.6	1920x1080	1	2
15.6	1920x1080	1	4
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
13.3	1920x1080	0	0
17.3	1920x1080	1	4
13.3	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1366x768	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
16.1	1920x1080	1	6
14	1920x1080250 nits	0	0
16.1	1920x1080	1	6
13.3	1920x1080	0	0
14.0	1920x1080	1	2
14.0	1920x1080	1	2
13.3	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080	0	0
15.6	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	1	2
14.0	1920x1080	0	0
15	1920x1080	0	0
15	1920x1080	0	0
15.6	1920x1080wva	1	6
15.6	1920x1080	0	0
13.3	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1920x1080	1	6
15.6	1920x1080	1	2
13.3	1920x1080	1	2
13.3	2560x1600	0	0
14.0	1920x1080	1	2
15.6	1920x1080	1	2
13.4	1920x1200	0	0
15.6	1920x1080	1	4
15.6	1920x1080wva	1	4
15.6	1920x1080	1	4
14	1920x1080	0	0
15.6	1920x1080wva	1	4
15.6	1920x1080	1	2
15.6	1920x1080	1	6
15.6	1920x1080	1	4
15.6	1920x1080	0	0
15.6	1920x1080	1	6
14.0	1920x1080	1	2
15.6	1920x1080	1	6
15.6	1920x1080	1	6
17.3	1920x1080	1	6
15.6	1920x1080	1	6
16	2560x1600	1	4
14.0	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	8
15.6	1920x1080	1	8
15.6	1920x1080	1	4
14.0	1920x1080	0	0
15.6	1920x1080	1	6
14.0	1920x1080	0	0
15.6	2560x1440	1	16
17.3	1920x1080	1	4
15.6	1920x1080	0	0
15.6	2560x1440	1	8
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1366x768	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
13.3	1920x1080	0	0
13.4	3840x2400	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
13.3	3840x2160	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080wva	1	4
15.6	1920x1080	1	2
15.6	1920x1080	1	4
15.6	1920x1080	1	6
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
13.3	2560x1600	0	0
15.6	1920x1080	0	0
13.3	2560x1600	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	4
15.6	1920x1080	0	0
13.3	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	2
14.0	1920x1080	1	2
15.6	1920x1080	0	0
14.0	1920x1080	0	0
17.3	2560x1440	1	6
15.6	1920x1080	1	2
15.6	1920x1080144hz	1	6
15.6	1920x1080	1	4
15.6	1920x1080	1	4
15.6	1920x1080	1	2
15.6	1920x1080	1	4
16	2560x1600	1	6
14.0	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080	1	2
15.6	1920x1080	0	0
15.6	1920x1080	0	0
13.3	2560x1600	0	0
13.3	2560x1600	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080	0	0
14	1920x1080	0	0
14	1920x1080	0	0
11.6	1366x768	0	0
11.6	1920x1080	0	0
14	1920x1080400 nits	0	0
14.0	1920x1080	0	0
13.3	1920x1080	0	0
14.5	2560x1600	1	2
17.3	2560x1440	1	6
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080240hz	1	6
15.6	1920x1080240hz	1	8
17.3	1920x1080	1	4
15.6	3840x2160vesa displayhdr 400 true black	1	8
15.6	1920x1080240hz	1	8
15.6	1920x1080144hz	1	4
15.6	3840x2160vesa displayhdr 400 true black	1	8
14	1920x1080	1	2
14	1920x1080	1	2
13.3	2560x1600	0	0
14.0	1366x768	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
13.3	2560x1600	0	0
13.3	2560x1600	0	0
13.3	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	6
15.6	1920x1080	1	6
15.6	1920x1080	1	6
15.6	1920x1080wva	1	8
15.6	1920x1080wva	1	6
15.6	1920x1080wva	1	4
15.6	1920x1080	0	0
15.6	1920x1080	0	0
13.3	2560x1600	0	0
13.3	2560x1600	0	0
13.3	2560x1600	0	0
17.3	3840x2160	1	16
15.6	1920x1080	1	2
15.6	1920x1080	0	0
15.6	1920x1080	1	2
15.6	1920x1080	0	0
15.6	1920x1080	0	0
14	1366x768	0	0
17.3	3840x2160	1	16
17.3	3840x2160	1	8
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	2
14.0	1920x1080	0	0
13.3	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
13.3	1920x1080	0	0
14	1366x768	0	0
15.6	1920x1080	1	6
15.6	1920x1080	1	6
15.6	1920x1080	0	0
15.6	1920x1080	1	6
15.6	1920x1080	1	6
15.6	1920x1080	0	0
15.6	1920x1080	0	0
15.6	1920x1080	1	6
15.6	1920x1080	1	6
15.6	1920x1080	1	6
13.4	1080x1920	1	4
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	1	8
15.6	1366x768	0	0
15.6	1920x1080	1	6
13.3	1920x1080	0	0
15.6	1920x1080	1	6
15.6	1920x1080	1	16
15.6	3840x2160	1	16
15.6	1920x1080	1	4
17.3	1920x1080	1	6
15.6	1920x1080	1	8
17.3	3840x2160	1	16
13.3	1920x1080	0	0
15.6	1920x1080	1	6
15.6	1920x1080	1	8
15.6	1920x1080	1	8
15.6	1920x1080	1	6
15.6	1920x1080	0	0
14.0	1920x1080	0	0
13.3	1920x1080	0	0
13.3	2560x1600	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080250 nits	1	4
14.0	1920x1080250 nits	1	4
15.6	1920x1080	0	0
14.0	1366x768	0	0
13.3	1920x1080	0	0
14.0	1920x1080	0	0
14.0	1920x1080	0	0
13.3	1920x1080	0	0
15.6	1920x1080	0	0
14.0	1920x1080	0	0
15.6	1920x1080	0	0
